model_name	fault_name	longitude	latitude	type
Example_Model	F5	22.19767287	38.18562917	sf
Example_Model	F5	22.19903015	38.18549608	sf
Example_Model	F5	22.20114257	38.18535526	sf
Example_Model	F5	22.20371	38.18532894	sf
Example_Model	F5	22.20566943	38.18507037	sf
Example_Model	F5	22.20823292	38.18480556	sf
Example_Model	F5	22.21004127	38.18454847	sf
Example_Model	F5	22.22268742	38.18203291	sf
Example_Model	F5	22.22600184	38.18152144	sf
Example_Model	F5	22.22826509	38.18137854	sf
Example_Model	F5	22.23052432	38.1809972	sf
Example_Model	F5	22.23308155	38.18037423	sf
Example_Model	F5	22.23564477	38.18010882	sf
Example_Model	F5	22.23851403	38.18007857	sf
Example_Model	F5	22.2404772	38.18005783	sf
Example_Model	F5	22.24228935	38.18003866	sf
Example_Model	F5	22.2439505	38.18002106	sf
Example_Model	F5	22.24531367	38.18024504	sf
Example_Model	F5	22.24758903	38.18081699	sf
Example_Model	F5	22.25077258	38.18149843	sf
Example_Model	F5	22.25837051	38.18415932	sf
Example_Model	F5	22.26041956	38.18473344	sf
Example_Model	F5	22.26368609	38.18583091	sf
Example_Model	F5	22.26581487	38.18664252	sf
Example_Model	F5	22.26809471	38.18745246	sf
Example_Model	F5	22.26946326	38.18797416	sf
Example_Model	F5	22.27052875	38.18843952	sf
Example_Model	F5	22.27197183	38.18890077	sf
Example_Model	F5	22.27364559	38.18959795	sf
Example_Model	F5	22.27508766	38.18999956	sf
Example_Model	F5	22.27698181	38.19033663	sf
Example_Model	F5	22.27841871	38.1904402	sf
Example_Model	F5	22.28046077	38.19059677	sf
Example_Model	F5	22.28227421	38.19063657	sf
Example_Model	F5	22.28423973	38.19073429	sf
Example_Model	F5	22.28665729	38.19076741	sf
Example_Model	F5	22.29013212	38.19078886	sf
Example_Model	F5	22.29292831	38.1908773	sf
Example_Model	F5	22.29527039	38.19091108	sf
Example_Model	F5	22.29730933	38.19088855	sf
Example_Model	F5	22.29866862	38.19087351	sf
Example_Model	F5	22.29972263	38.190683	sf
Example_Model	F5	22.3006267	38.19055376	sf
Example_Model	F5	22.30145739	38.19054454	sf
Example_Model	F5	22.30221465	38.19065537	sf
Example_Model	F5	22.30342505	38.19076114	sf
Example_Model	F5	22.30463648	38.19092651	sf
Example_Model	F5	22.30569159	38.19079555	sf
Example_Model	F5	22.30674456	38.19054538	sf
Example_Model	F5	22.30749864	38.19047737	sf
Example_Model	F5	22.30817827	38.19046979	sf
Example_Model	F5	22.30893341	38.19046137	sf
Example_Model	F5	22.30961412	38.19051338	sf
