section;wkt
109;LINESTRING(-69.607927 18.399364,-69.636774 18.430156)
109;LINESTRING(-69.569861 18.375836999999997,-69.524202 18.424861)
112;LINESTRING(-70.083843 18.709401,-70.050232 18.76281)
112;LINESTRING(-69.92753 18.596138,-69.87373733333334 18.642487000000003)
113;LINESTRING(-69.92753 18.596138,-69.87373733333334 18.642487000000003)
113;LINESTRING(-69.872049 18.561606,-69.841201 18.62008)
113;LINESTRING(-69.732312 18.479997,-69.665781 18.516485)
114;LINESTRING(-69.636774 18.430156,-69.607927 18.399364)
114;LINESTRING(-69.732312 18.479997,-69.704226 18.5397365)
114;LINESTRING(-69.636774 18.430156,-69.616631 18.4930035)
115;LINESTRING(-70.050232 18.76281,-70.083843 18.709401)
115;LINESTRING(-69.87373733333334 18.642487000000003,-69.92753 18.596138)
116;LINESTRING(-69.87373733333334 18.642487000000003,-69.92753 18.596138)
116;LINESTRING(-69.841201 18.62008,-69.872049 18.561606)
116;LINESTRING(-69.704226 18.5397365,-69.732312 18.479997)
117;LINESTRING(-69.524202 18.424861,-69.569861 18.375836999999997)
117;LINESTRING(-69.665781 18.516485,-69.732312 18.479997)
117;LINESTRING(-69.616631 18.4930035,-69.636774 18.430156)
118;LINESTRING(-69.802243 19.25048,-69.805387 19.251259)
121;LINESTRING(-68.8963242 19.1234772,-68.818333 19.112358)
122;LINESTRING(-68.818333 19.112358,-68.818333 19.112358)
123;LINESTRING(-68.818333 19.112358,-68.8963242 19.1234772)
123;LINESTRING(-68.818333 19.112358,-68.818333 19.112358)
129;LINESTRING(-72.225527 18.510475,-72.226864 18.511787)
131;LINESTRING(-72.893367 18.415933,-72.899391 18.424272)
132;LINESTRING(-73.608592 18.356111,-73.545216 18.372534)
132;LINESTRING(-73.608592 18.356111,-73.619093 18.367799)
135;LINESTRING(-74.417656 18.332529,-74.422683 18.334765)
136;LINESTRING(-72.899391 18.424272,-72.893367 18.415933)
138;LINESTRING(-73.545216 18.372534,-73.608592 18.356111)
139;LINESTRING(-73.619093 18.367799,-73.608592 18.356111)
140;LINESTRING(-71.283569 18.995206,-71.287699 18.9876585)
140;LINESTRING(-71.19271 18.910298,-71.245248 18.891677)
141;LINESTRING(-71.0631 18.839938,-71.049477 18.789945)
141;LINESTRING(-71.0631 18.839938,-71.049477 18.789945)
141;LINESTRING(-70.959406 18.812283,-70.984669 18.758718)
142;LINESTRING(-71.597326 18.530429,-71.591257 18.501293)
144;LINESTRING(-72.192074 18.665875,-72.196177 18.66422)
145;LINESTRING(-72.111378 18.664341,-72.196177 18.66422)
145;LINESTRING(-71.782293 18.542317,-71.760431 18.480522)
145;LINESTRING(-71.782293 18.542317,-71.780188 18.495413)
145;LINESTRING(-71.825278 18.552774,-71.861353 18.494687)
146;LINESTRING(-71.287699 18.9876585,-71.283569 18.995206)
146;LINESTRING(-71.358649 19.066273,-71.358649 19.066273)
146;LINESTRING(-71.358649 19.066273,-71.385121 19.091824)
147;LINESTRING(-71.245248 18.891677,-71.19271 18.910298)
147;LINESTRING(-71.049477 18.789945,-71.0631 18.839938)
147;LINESTRING(-71.049477 18.789945,-70.984669 18.758718)
148;LINESTRING(-71.049477 18.789945,-71.0631 18.839938)
148;LINESTRING(-70.984669 18.758718,-70.984669 18.758718)
149;LINESTRING(-70.984669 18.758718,-70.959406 18.812283)
149;LINESTRING(-70.984669 18.758718,-71.049477 18.789945)
149;LINESTRING(-70.984669 18.758718,-70.984669 18.758718)
154;LINESTRING(-77.475051 18.386219,-77.470138 18.385496)
155;LINESTRING(-77.470138 18.385496,-77.475051 18.386219)
157;LINESTRING(-77.390802 18.152868,-77.394267 18.134089)
157;LINESTRING(-77.239603 18.11797,-77.241456 18.108298)
157;LINESTRING(-77.239603 18.11797,-77.241456 18.108298)
158;LINESTRING(-77.394267 18.134089,-77.390802 18.152868)
159;LINESTRING(-77.241456 18.108298,-77.239603 18.11797)
160;LINESTRING(-77.241456 18.108298,-77.239603 18.11797)
160;LINESTRING(-76.778348 18.08694,-76.780081 18.090204)
161;LINESTRING(-76.780081 18.090204,-76.778348 18.08694)
161;LINESTRING(-76.550542 17.988451,-76.550542 17.988451)
165;LINESTRING(-76.229406 17.958848,-76.239358 17.95319)
170;LINESTRING(-74.422683 18.334765,-74.417656 18.332529)
171;LINESTRING(-75.019956 19.853891,-75.035412 19.850027)
176;LINESTRING(-73.161112 20.02121,-73.161112 20.02121)
187;LINESTRING(-76.715108 19.773587,-76.715108 19.773587)
188;LINESTRING(-76.550542 17.988451,-76.550542 17.988451)
188;LINESTRING(-76.239358 17.95319,-76.229406 17.958848)
189;LINESTRING(-75.440111 19.90375,-75.448314 19.827947)
190;LINESTRING(-75.678035 20.125872,-75.754839 20.095876)
191;LINESTRING(-75.765619 20.191346,-75.765619 20.191346)
191;LINESTRING(-75.732809 20.133147,-75.754839 20.095876)
192;LINESTRING(-75.765619 20.191346,-75.765619 20.191346)
195;LINESTRING(-75.754839 20.095876,-75.678035 20.125872)
195;LINESTRING(-75.754839 20.095876,-75.732809 20.133147)
198;LINESTRING(-67.099951 18.282152,-67.099123 18.283532)
198;LINESTRING(-67.047096 18.252067,-67.029846 18.278564)
199;LINESTRING(-67.099123 18.283532,-67.099951 18.282152)
200;LINESTRING(-67.029846 18.278564,-67.047096 18.252067)
225;LINESTRING(-65.926077 18.253943,-65.961028 18.268257)
225;LINESTRING(-65.926077 18.253943,-66.010413 18.267064)
225;LINESTRING(-65.838043 18.232232,-65.839713 18.233902)
226;LINESTRING(-66.113119 18.312393,-66.129939 18.263963)
226;LINESTRING(-65.960909 18.268496,-65.961028 18.268257)
226;LINESTRING(-66.027709 18.288536,-66.029976 18.272313)
226;LINESTRING(-65.926077 18.253943,-65.913194 18.288059)
227;LINESTRING(-65.94063 18.303566,-65.961028 18.268257)
227;LINESTRING(-65.97069 18.321459,-66.010413 18.267064)
227;LINESTRING(-65.839713 18.233902,-65.838043 18.232232)
227;LINESTRING(-65.913194 18.288059,-65.926077 18.253943)
228;LINESTRING(-66.205209 18.289848,-66.19841 18.306429)
228;LINESTRING(-66.129939 18.263963,-66.113119 18.312393)
229;LINESTRING(-66.00755 18.265156,-66.010413 18.267064)
229;LINESTRING(-65.961028 18.268257,-65.926077 18.253943)
229;LINESTRING(-65.961028 18.268257,-65.960909 18.268496)
229;LINESTRING(-65.961028 18.268257,-65.94063 18.303566)
230;LINESTRING(-66.19841 18.306429,-66.205209 18.289848)
230;LINESTRING(-66.010413 18.267064,-66.00755 18.265156)
230;LINESTRING(-66.010413 18.267064,-65.926077 18.253943)
230;LINESTRING(-66.029976 18.272313,-66.027709 18.288536)
230;LINESTRING(-66.010413 18.267064,-65.97069 18.321459)
231;LINESTRING(-71.56679249999999 19.991729,-71.611802 19.916699)
231;LINESTRING(-71.56679249999999 19.991729,-71.57505325 19.90362825)
232;LINESTRING(-71.51728 19.965096,-71.57505325 19.90362825)
232;LINESTRING(-71.382083 19.903799,-71.410334 19.83978)
232;LINESTRING(-71.382083 19.903799,-71.378034 19.829652)
233;LINESTRING(-71.3488235 19.893278,-71.378034 19.829652)
233;LINESTRING(-71.3488235 19.893278,-71.378034 19.829652)
233;LINESTRING(-71.182526 19.840673,-71.186761 19.751168333333332)
234;LINESTRING(-71.061838 19.798327,-71.051763 19.800944)
234;LINESTRING(-71.182526 19.840673,-71.230492 19.768883)
234;LINESTRING(-71.182526 19.840673,-71.186761 19.751168333333332)
235;LINESTRING(-71.72714 19.811199,-71.690634 19.8402)
236;LINESTRING(-71.657557 19.801448,-71.650014 19.83784)
237;LINESTRING(-71.492261 19.747494,-71.471314 19.806744)
239;LINESTRING(-71.690634 19.8402,-71.72714 19.811199)
239;LINESTRING(-71.650014 19.83784,-71.657557 19.801448)
239;LINESTRING(-71.471314 19.806744,-71.492261 19.747494)
239;LINESTRING(-71.584619 19.828065,-71.57505325 19.90362825)
239;LINESTRING(-71.427914 19.798485,-71.410334 19.83978)
239;LINESTRING(-71.399936 19.788035,-71.378034 19.829652)
242;LINESTRING(-71.650341 19.374395,-71.650341 19.374395)
242;LINESTRING(-71.650341 19.374395,-71.559001 19.35728)
