Model_used	lon	lat
CHN0	69.443683592692679	41.952631300303821
CHN0	66.302597272247979	44.836251528908797
CHN0	69.98123258012167	47.397051631570704
CHN0	75.127450082716052	43.820247977285248
CHN0	76.076397990995872	44.002737959646751
CHN0	76.988847902803386	45.499155815011072
CHN0	79.689699641753634	48.52848952221202
CHN0	81.011118691699323	49.365822440136498
CHN0	86.025656602423851	49.57476151975002
CHN0	88.010577858752299	49.313587670233119
CHN0	90.62231635392132	47.224196874097899
CHN0	91.719246521892302	45.86609285661001
CHN0	93.651933008317386	45.552684237189723
CHN0	95.931347196110835	44.199393709242187
CHN0	103.042747224697081	44.417089628484625
CHN0	108.630275818586256	42.240130436060269
CHN0	118.426592184495888	41.151650839848088
CHN0	122.417684037273872	42.748087580959279
CHN0	135.261743272577576	52.399273334040608
CHN0	138.890008593284847	54.213405994394243
CHN0	139.543096351012167	51.601054963485012
CHN0	134.608655514850284	42.675522274545138
CHN0	131.560912645456199	41.296781452676377
CHN0	122.495622539782303	39.167871942977335
CHN0	118.957969593456099	32.496869244190783
CHN0	116.329998833328062	29.161367894797507
CHN0	110.034620070398276	32.82976845048924
CHN0	105.909383185901916	31.929716766599125
CHN0	104.709314274048438	28.779535872983729
CHN0	104.334292739094224	26.229389435295076
CHN0	104.034275511130858	23.454230076633891
CHN0	106.134396106874448	21.504118094871977
CHN0	106.134396106874448	18.053919973293212
CHN0	102.159167836359785	19.629010420100911
CHN0	97.808918030890908	18.728958736210792
CHN0	92.408607927550207	19.629010420100911
CHN0	90.983526094724198	23.304221462652208
CHN0	89.78345718287072	24.954316216450749
CHN0	87.083302131200384	26.4544023562676
CHN0	82.733052325731506	27.279449733166871
CHN0	78.307798213271781	29.154557407937943
CHN0	75.382630240628899	31.55469523164491
CHN0	73.582526872848675	32.904772757480082
CHN0	71.857427812059285	35.754936423132108
CHN0	69.682302909324846	36.579983800031378
CHN0	68.932259839416417	39.580156079665088
CHN0	69.443683592692679	41.952631300303821
