section;wkt
210;LINESTRING(88.652669 30.920478,88.652669 30.920478)
219;LINESTRING(88.652669 30.920478,88.652669 30.920478)
226;LINESTRING(87.807189 28.60709,87.871006 28.630658)
229;LINESTRING(89.142222 27.69374,89.142222 27.69374)
236;LINESTRING(90.446542 30.07289,90.446542 30.07289)
238;LINESTRING(90.446542 30.07289,90.446542 30.07289)
243;LINESTRING(91.523121 30.613936,91.523121 30.613936)
251;LINESTRING(87.894576 35.366553,87.894576 35.366553)
251;LINESTRING(87.894576 35.366553,87.978612 35.364175)
252;LINESTRING(87.894576 35.366553,87.894576 35.366553)
253;LINESTRING(87.978612 35.364175,87.894576 35.366553)
258;LINESTRING(86.38749 32.672774,86.38749 32.672774)
258;LINESTRING(86.5817 32.786817,86.526926 32.851179)
258;LINESTRING(86.38749 32.672774,86.31745266666667 32.64721333333333)
258;LINESTRING(86.38749 32.672774,86.38749 32.672774)
259;LINESTRING(86.5817 32.786817,86.504812 32.801402)
259;LINESTRING(86.5817 32.786817,86.526926 32.851179)
261;LINESTRING(87.139909 33.07646,87.139909 33.07646)
262;LINESTRING(87.26006 33.35361,87.26006 33.35361)
262;LINESTRING(87.139909 33.07646,87.139909 33.07646)
262;LINESTRING(87.26006 33.35361,87.26006 33.35361)
263;LINESTRING(81.566273 33.271638,81.566273 33.271638)
263;LINESTRING(81.566273 33.271638,81.566273 33.271638)
266;LINESTRING(87.929703 31.844803,87.929703 31.844803)
274;LINESTRING(87.929703 31.844803,87.929703 31.844803)
275;LINESTRING(89.98328 31.75541,89.98328 31.75541)
278;LINESTRING(90.83891 31.43771,90.83891 31.43771)
278;LINESTRING(90.83891 31.43771,90.83891 31.43771)
279;LINESTRING(89.98328 31.75541,89.98328 31.75541)
282;LINESTRING(90.87279 31.91365,90.87279 31.91365)
285;LINESTRING(90.83891 31.43771,90.83891 31.43771)
285;LINESTRING(90.83891 31.43771,90.83891 31.43771)
286;LINESTRING(90.83891 31.43771,90.83891 31.43771)
286;LINESTRING(90.83891 31.43771,90.83891 31.43771)
286;LINESTRING(90.963446 31.371532,90.963446 31.371532)
287;LINESTRING(90.963446 31.371532,90.963446 31.371532)
290;LINESTRING(91.597352 30.923288,91.597352 30.923288)
290;LINESTRING(91.597352 30.923288,91.611572 30.854694)
296;LINESTRING(89.668718 34.73235,89.577676 34.756238)
297;LINESTRING(89.588575 35.600315,89.617843 35.618002)
303;LINESTRING(91.597352 30.923288,91.597352 30.923288)
304;LINESTRING(91.611572 30.854694,91.597352 30.923288)
305;LINESTRING(91.523121 30.613936,91.523121 30.613936)
308;LINESTRING(92.544465 30.712649,92.588302 30.716316)
309;LINESTRING(92.588302 30.716316,92.588302 30.716316)
310;LINESTRING(92.588302 30.716316,92.544465 30.712649)
310;LINESTRING(92.588302 30.716316,92.588302 30.716316)
315;LINESTRING(95.486701 29.905533,95.486701 29.905533)
315;LINESTRING(95.486701 29.905533,95.486701 29.905533)
316;LINESTRING(95.486701 29.905533,95.486701 29.905533)
316;LINESTRING(95.486701 29.905533,95.486701 29.905533)
316;LINESTRING(95.654286 29.787599,95.70946472222222 29.824366444444443)
321;LINESTRING(97.043688 28.428448,97.043688 28.428448)
322;LINESTRING(95.486701 29.905533,95.486701 29.905533)
322;LINESTRING(95.486701 29.905533,95.486701 29.905533)
323;LINESTRING(95.70946472222222 29.824366444444443,95.654286 29.787599)
327;LINESTRING(96.759475 29.373531,96.759475 29.373531)
327;LINESTRING(96.759475 29.373531,96.759475 29.373531)
330;LINESTRING(91.310041 31.890299,91.310041 31.890299)
331;LINESTRING(90.87279 31.91365,90.87279 31.91365)
332;LINESTRING(91.310041 31.890299,91.310041 31.890299)
333;LINESTRING(91.310041 31.890299,91.310041 31.890299)
333;LINESTRING(91.310041 31.890299,91.310041 31.890299)
333;LINESTRING(91.513139 31.92651,91.513139 31.92651)
334;LINESTRING(91.513139 31.92651,91.513139 31.92651)
334;LINESTRING(91.568974 32.138718,91.568974 32.138718)
335;LINESTRING(91.568974 32.138718,91.568974 32.138718)
340;LINESTRING(86.38749 32.672774,86.38749 32.672774)
340;LINESTRING(86.504812 32.801402,86.5817 32.786817)
340;LINESTRING(86.38749 32.672774,86.31745266666667 32.64721333333333)
340;LINESTRING(86.38749 32.672774,86.38749 32.672774)
341;LINESTRING(86.526926 32.851179,86.5817 32.786817)
341;LINESTRING(86.526926 32.851179,86.5817 32.786817)
342;LINESTRING(86.813993 33.137689,86.813993 33.137689)
343;LINESTRING(86.813993 33.137689,86.813993 33.137689)
344;LINESTRING(87.26006 33.35361,87.26006 33.35361)
344;LINESTRING(87.26006 33.35361,87.26006 33.35361)
345;LINESTRING(87.350032 32.347267,87.350032 32.347267)
346;LINESTRING(87.350032 32.347267,87.350032 32.347267)
347;LINESTRING(77.16619 37.795518,77.16619 37.795518)
348;LINESTRING(77.246695 37.794033,77.16619 37.795518)
349;LINESTRING(77.849143 37.633321,77.86875 37.662433)
350;LINESTRING(77.86875 37.662433,77.849143 37.633321)
352;LINESTRING(78.511302 37.285457,78.511302 37.285457)
353;LINESTRING(78.511302 37.285457,78.511302 37.285457)
365;LINESTRING(82.078623 36.542794,82.078623 36.542794)
366;LINESTRING(82.078623 36.542794,82.078623 36.542794)
370;LINESTRING(83.305274 36.614998,83.305274 36.614998)
371;LINESTRING(83.305274 36.614998,83.305274 36.614998)
371;LINESTRING(83.624094 36.716216,83.631524 36.652526)
371;LINESTRING(83.624094 36.716216,83.631524 36.652526)
372;LINESTRING(83.624094 36.716216,83.631524 36.652526)
372;LINESTRING(83.624094 36.716216,83.631524 36.652526)
372;LINESTRING(83.789604 36.797323,83.85345833333334 36.72561433333333)
377;LINESTRING(77.16619 37.795518,77.16619 37.795518)
377;LINESTRING(77.16619 37.795518,77.246695 37.794033)
385;LINESTRING(74.992541 39.321583,74.960057 39.294097)
388;LINESTRING(98.510087 28.871966,98.510087 28.871966)
390;LINESTRING(98.972654 28.576379,98.972654 28.576379)
391;LINESTRING(98.972654 28.576379,98.972654 28.576379)
395;LINESTRING(99.708944 27.754212,99.733987 27.672064)
395;LINESTRING(99.708944 27.754212,99.733987 27.672064)
396;LINESTRING(99.733987 27.672064,99.733987 27.672064)
396;LINESTRING(99.733987 27.672064,99.733987 27.672064)
397;LINESTRING(100.056694 27.146758,100.056694 27.146758)
398;LINESTRING(100.071 27.071,100.056694 27.146758)
399;LINESTRING(99.898 26.539,99.898 26.539)
399;LINESTRING(99.898 26.539,99.898 26.539)
399;LINESTRING(99.979759 26.716383,100.055898 26.688719)
400;LINESTRING(100.205966 27.302048,100.205966 27.302048)
401;LINESTRING(100.196982 26.997132,100.245309 26.98005)
401;LINESTRING(100.217782 27.233807,100.205966 27.302048)
402;LINESTRING(100.245309 26.98005,100.196982 26.997132)
402;LINESTRING(100.229023 26.865695,100.203267 26.821219)
402;LINESTRING(100.246194 26.941813,100.289564 26.914951)
402;LINESTRING(100.229023 26.865695,100.299831 26.837925)
402;LINESTRING(100.246194 26.941813,100.289564 26.914951)
403;LINESTRING(99.898 26.539,99.898 26.539)
403;LINESTRING(99.898 26.539,99.898 26.539)
404;LINESTRING(100.055898 26.688719,99.979759 26.716383)
404;LINESTRING(100.203267 26.821219,100.229023 26.865695)
404;LINESTRING(100.203267 26.821219,100.299831 26.837925)
404;LINESTRING(100.203267 26.821219,100.296467 26.831021)
404;LINESTRING(100.203267 26.821219,100.292662 26.784199)
405;LINESTRING(100.289564 26.914951,100.246194 26.941813)
405;LINESTRING(100.299831 26.837925,100.203267 26.821219)
405;LINESTRING(100.289564 26.914951,100.289564 26.914951)
406;LINESTRING(100.299831 26.837925,100.229023 26.865695)
406;LINESTRING(100.296467 26.831021,100.203267 26.821219)
406;LINESTRING(100.299831 26.837925,100.289564 26.914951)
407;LINESTRING(100.292662 26.784199,100.203267 26.821219)
408;LINESTRING(100.02832 26.080274,100.014548 26.103844)
410;LINESTRING(100.202473 25.513903,100.224351 25.471275)
410;LINESTRING(100.202473 25.513903,100.12511 25.550442)
410;LINESTRING(100.202473 25.513903,100.202473 25.513903)
410;LINESTRING(100.202473 25.513903,100.202473 25.513903)
410;LINESTRING(100.211126 25.581666,100.299381 25.606867)
414;LINESTRING(100.57818 26.11682,100.57818 26.11682)
414;LINESTRING(100.57818 26.11682,100.556351 26.073122)
415;LINESTRING(99.622244 29.772894,99.622244 29.772894)
416;LINESTRING(99.622244 29.772894,99.622244 29.772894)
416;LINESTRING(99.750815 29.879134,99.750815 29.879134)
417;LINESTRING(99.733987 27.672064,99.708944 27.754212)
417;LINESTRING(99.733987 27.672064,99.733987 27.672064)
417;LINESTRING(99.733987 27.672064,99.733987 27.672064)
417;LINESTRING(99.832322 27.518898,99.903262 27.526686)
418;LINESTRING(99.868699 27.469244,99.903262 27.526686)
418;LINESTRING(99.868699 27.469244,99.903262 27.526686)
419;LINESTRING(100.056694 27.146758,100.056694 27.146758)
419;LINESTRING(100.056694 27.146758,100.071 27.071)
420;LINESTRING(99.733987 27.672064,99.708944 27.754212)
420;LINESTRING(99.733987 27.672064,99.733987 27.672064)
420;LINESTRING(99.733987 27.672064,99.733987 27.672064)
420;LINESTRING(99.903262 27.526686,99.868699 27.469244)
421;LINESTRING(99.903262 27.526686,99.832322 27.518898)
421;LINESTRING(99.903262 27.526686,99.868699 27.469244)
422;LINESTRING(100.205966 27.302048,100.205966 27.302048)
422;LINESTRING(100.205966 27.302048,100.217782 27.233807)
423;LINESTRING(100.289564 26.914951,100.246194 26.941813)
423;LINESTRING(100.289564 26.914951,100.289564 26.914951)
423;LINESTRING(100.289564 26.914951,100.299831 26.837925)
423;LINESTRING(100.415026 27.03882,100.415026 27.03882)
424;LINESTRING(100.415026 27.03882,100.415026 27.03882)
430;LINESTRING(101.358586 27.423772,101.358586 27.423772)
431;LINESTRING(101.658632 27.402008,101.658632 27.402008)
431;LINESTRING(101.358586 27.423772,101.358586 27.423772)
432;LINESTRING(102.281157 29.275594,102.281157 29.275594)
432;LINESTRING(102.281157 29.275594,102.281157 29.275594)
437;LINESTRING(102.237229 27.885823,102.237229 27.885823)
438;LINESTRING(102.237229 27.885823,102.237229 27.885823)
442;LINESTRING(102.737328 27.037278,102.737328 27.037278)
443;LINESTRING(101.712953 30.24293,101.712953 30.24293)
443;LINESTRING(101.712953 30.24293,101.712953 30.24293)
446;LINESTRING(102.111838 29.624236,102.111838 29.624236)
447;LINESTRING(102.111838 29.624236,102.111838 29.624236)
