Example_Model_F1	4.5	0.04423152741578802 0.01657774766693569 0.007824097716927426 0.02030980231613061 0.007189119465689895 0.007865601447806764 0.004258203060356921 0.004637810624048196 0.0018058251640367942 0.002324411476753884 0.002139224497984617 0.0034948960735372847 0.0009896787768485609 0.0012553113946861994 0.0009093596753053122 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Example_Model_F2	4.5	0.0133484713388074 0.015749990020468636 0.008920111231266438 0.007893693928015873 0.0022353229358229904 0.0055387060720356865 0.0028007882961717883 0.0015862450137818051 0.0016844632057607869 0.000993757187890445 0.0014070524237369457 0.0009961168317920578 0.0007051967118212728 0.0004992410392954274 0.0004948098248250526 0.0005754904414146579 0.0001594236646772119 0.0 0.0 0.0 0.0 0.0
Example_Model_F3	4.5	0.006028309451501685 0.014937006921037842 0.01510655868723638 0.00962516208526255 0.006814092922275624 0.006968012073716483 0.003794595979327211 0.004835462808610275 0.0038036061232243736 0.0026927469203943777 0.002096950713777215 0.0011471348229071907 0.001528676257877446 0.001285136146037297 0.0007422107427723715 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Example_Model_F5	4.5	0.025746736160343033 0.02187275199163858 0.02322708384804051 0.00548117203125241 0.01810840562071038 0.006409884710549939 0.010372230535364988 0.0059661687167648315 0.0058482332196344265 0.004370244945820749 0.0026053865146272587 0.0008069566748782242 0.0018770680359565261 0.000982202645738256 0.0010225679742078561 0.001940112800052294 0.00018449928510806828 0.0002467181498822729 0.0 0.0 0.0 0.0
Example_Model_scenario_f_1=['F1']_f_2=['F2']	4.5	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0008421573019805675 0.0008346823964156489 0.000365801356664164 0.0001992057910556861 0.00011282152000222377 4.9919699670865815e-05
Example_Model_scenario_f_1=['F1']_f_2=['F2']_f_3=['F3']	4.5	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00042174955797235237 0.00038388319924165585 0.00021137549424368618 0.0001710198743679221
Example_Model_scenario_f_1=['F1']_f_2=['F2']_f_3=['F3']_f_4=['F5']	4.5	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00012925544116723813
Example_Model_scenario_f_1=['F2']_f_2=['F3']	4.5	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0008319725852054796 0.000504849843788052 0.00014891929944030964 0.00018976822245397035 0.00010449103240827923 4.2270849085364485e-05
Example_Model_scenario_f_1=['F2']_f_2=['F3']_f_3=['F5']	4.5	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0001891948860613279 0.00018751561081981687
Example_Model_scenario_f_1=['F3']_f_2=['F5']	4.5	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00029318990066301434 0.00011531253011021339 0.00011428902740947187 9.246906874959888e-05
