#,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-30T00:28:48', checksum=421958827"
rlz_id,branch_path,weight
0,0~0,5.0000000e-01
1,1~0,5.0000000e-01
