#,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T15:15:31', checksum=1879627532, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
100.99339,28.47787,8.004123E-03,1.966524E-02,1.226426E-02,3.104725E-02,7.592957E-03,1.943784E-02
100.99359,28.61277,9.185924E-03,2.216329E-02,1.452891E-02,3.618840E-02,8.350437E-03,2.113372E-02
100.99379,28.74766,1.044312E-02,2.485059E-02,1.698225E-02,4.173679E-02,9.172868E-03,2.294250E-02
100.99399,28.88256,1.173611E-02,2.764446E-02,1.964442E-02,4.757426E-02,9.993050E-03,2.479648E-02
100.99419,29.01746,1.306349E-02,3.035332E-02,2.225092E-02,5.344538E-02,1.078941E-02,2.667304E-02
100.99439,29.15236,1.431742E-02,3.289229E-02,2.478153E-02,5.883142E-02,1.158230E-02,2.842970E-02
100.99460,29.28726,1.539593E-02,3.506798E-02,2.701136E-02,6.332694E-02,1.233714E-02,2.999353E-02
100.99480,29.42216,1.629714E-02,3.675579E-02,2.866044E-02,6.659487E-02,1.305594E-02,3.139098E-02
100.99501,29.55705,1.695943E-02,3.786315E-02,2.974795E-02,6.847300E-02,1.372083E-02,3.250656E-02
100.99521,29.69195,1.738001E-02,3.843721E-02,3.028807E-02,6.910200E-02,1.420812E-02,3.333065E-02
100.99542,29.82685,1.761703E-02,3.863167E-02,3.039437E-02,6.881454E-02,1.464902E-02,3.400267E-02
100.99563,29.96175,1.769621E-02,3.857522E-02,3.018421E-02,6.798212E-02,1.502287E-02,3.449553E-02
100.99585,30.09665,1.767029E-02,3.838306E-02,2.977771E-02,6.689773E-02,1.534126E-02,3.488515E-02
100.99606,30.23155,1.754244E-02,3.808831E-02,2.922438E-02,6.568500E-02,1.554037E-02,3.510674E-02
100.99627,30.36644,1.734508E-02,3.771215E-02,2.855575E-02,6.434894E-02,1.569743E-02,3.524782E-02
100.99649,30.50134,1.707926E-02,3.722606E-02,2.776533E-02,6.282018E-02,1.582007E-02,3.531321E-02
100.99671,30.63624,1.674247E-02,3.661634E-02,2.683887E-02,6.103022E-02,1.588628E-02,3.527907E-02
100.99693,30.77114,1.633638E-02,3.588040E-02,2.573963E-02,5.897103E-02,1.589613E-02,3.513831E-02
100.99715,30.90604,1.587712E-02,3.503523E-02,2.454451E-02,5.669915E-02,1.586072E-02,3.490737E-02
100.99737,31.04093,1.539447E-02,3.412503E-02,2.330400E-02,5.430651E-02,1.581909E-02,3.464703E-02
100.99760,31.17583,1.488783E-02,3.317224E-02,2.204871E-02,5.185159E-02,1.573614E-02,3.431768E-02
100.99782,31.31073,1.438412E-02,3.221047E-02,2.082386E-02,4.936215E-02,1.562836E-02,3.396348E-02
100.99805,31.44563,1.388805E-02,3.126128E-02,1.965152E-02,4.695695E-02,1.550073E-02,3.358170E-02
100.99828,31.58053,1.338749E-02,3.032776E-02,1.851828E-02,4.466470E-02,1.535190E-02,3.316554E-02
100.99851,31.71543,1.289441E-02,2.942113E-02,1.744683E-02,4.251208E-02,1.519056E-02,3.271649E-02
100.99874,31.85032,1.242731E-02,2.854767E-02,1.646251E-02,4.050295E-02,1.501297E-02,3.225099E-02
100.99897,31.98522,1.197094E-02,2.769872E-02,1.554904E-02,3.863059E-02,1.478017E-02,3.174223E-02
100.99921,32.12012,1.150278E-02,2.684615E-02,1.467937E-02,3.679860E-02,1.447803E-02,3.114000E-02
100.99944,32.25502,1.106227E-02,2.593696E-02,1.388437E-02,3.500317E-02,1.418630E-02,3.053712E-02
100.99968,32.38992,1.062235E-02,2.500663E-02,1.310592E-02,3.326954E-02,1.386005E-02,2.987220E-02
100.99992,32.52482,1.021199E-02,2.410258E-02,1.238961E-02,3.163218E-02,1.353484E-02,2.922574E-02
101.14686,28.47787,9.120245E-03,2.200708E-02,1.448931E-02,3.603690E-02,8.234054E-03,2.087994E-02
