#,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T15:26:52', checksum=1907349263, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
101.99498,28.90622,3.452871E-02,7.419251E-02,7.518291E-02,1.650692E-01,1.791348E-02,4.464922E-02
101.99518,29.04111,4.864677E-02,1.055436E-01,1.110483E-01,2.467400E-01,2.190287E-02,5.723879E-02
101.99538,29.17601,7.527541E-02,1.682656E-01,1.785049E-01,4.108517E-01,2.875955E-02,8.288406E-02
101.99559,29.31091,1.158296E-01,2.705825E-01,2.836876E-01,6.659817E-01,3.974479E-02,1.313372E-01
101.99579,29.44581,1.273152E-01,2.788754E-01,3.119210E-01,6.847302E-01,4.578102E-02,1.473478E-01
101.99600,29.58071,1.166051E-01,2.462142E-01,2.853750E-01,6.034024E-01,4.493244E-02,1.346325E-01
101.99621,29.71561,9.965406E-02,2.058450E-01,2.391838E-01,4.992691E-01,4.123107E-02,1.134038E-01
101.99642,29.85050,8.270161E-02,1.650295E-01,1.957995E-01,3.968705E-01,3.771705E-02,9.410919E-02
101.99663,29.98540,7.268488E-02,1.400255E-01,1.676533E-01,3.287931E-01,3.582495E-02,8.433191E-02
101.99684,30.12030,7.083605E-02,1.387375E-01,1.626692E-01,3.245712E-01,3.599987E-02,8.481680E-02
101.99705,30.25520,7.422513E-02,1.521242E-01,1.709377E-01,3.589113E-01,3.726719E-02,9.077225E-02
101.99727,30.39010,7.459830E-02,1.536260E-01,1.718809E-01,3.625457E-01,3.775827E-02,9.213806E-02
101.99749,30.52500,7.008686E-02,1.429694E-01,1.603099E-01,3.336739E-01,3.703256E-02,8.838125E-02
101.99770,30.65989,6.337620E-02,1.280009E-01,1.430445E-01,2.946528E-01,3.565329E-02,8.259806E-02
101.99792,30.79479,5.662057E-02,1.136036E-01,1.239507E-01,2.548436E-01,3.416117E-02,7.704501E-02
101.99815,30.92969,5.054042E-02,1.009220E-01,1.074769E-01,2.197544E-01,3.283059E-02,7.222553E-02
101.99837,31.06459,4.542524E-02,9.089299E-02,9.342256E-02,1.917472E-01,3.176642E-02,6.845402E-02
101.99859,31.19949,4.132158E-02,8.314402E-02,8.189153E-02,1.694929E-01,3.093628E-02,6.556408E-02
101.99882,31.33438,3.813079E-02,7.724822E-02,7.289515E-02,1.524257E-01,3.026448E-02,6.331438E-02
101.99905,31.46928,3.525744E-02,7.225149E-02,6.479750E-02,1.378540E-01,2.969678E-02,6.140748E-02
101.99927,31.60418,3.299334E-02,6.826923E-02,5.850034E-02,1.263900E-01,2.920986E-02,5.987996E-02
101.99950,31.73908,3.120591E-02,6.507852E-02,5.360597E-02,1.174434E-01,2.875473E-02,5.856789E-02
101.99974,31.87398,2.979550E-02,6.245894E-02,4.980145E-02,1.104784E-01,2.831999E-02,5.739374E-02
101.99997,32.00888,2.855724E-02,6.009527E-02,4.655769E-02,1.044070E-01,2.788872E-02,5.627641E-02
102.14908,28.90622,3.634170E-02,7.690850E-02,7.927384E-02,1.722156E-01,1.866529E-02,4.603165E-02
102.14948,29.04111,5.232374E-02,1.111386E-01,1.197582E-01,2.621804E-01,2.306218E-02,5.956597E-02
102.14989,29.17601,8.429525E-02,1.841728E-01,2.037725E-01,4.522749E-01,3.123901E-02,8.807559E-02
102.15029,29.31091,1.456801E-01,3.229158E-01,3.567625E-01,8.062447E-01,4.747378E-02,1.504096E-01
102.15070,29.44581,1.819954E-01,3.875021E-01,4.498755E-01,9.595432E-01,6.225216E-02,1.994951E-01
102.15112,29.58071,1.788073E-01,3.759300E-01,4.421381E-01,9.301640E-01,6.388465E-02,2.011071E-01
102.15153,29.71561,1.533770E-01,3.256339E-01,3.775507E-01,8.072255E-01,5.656842E-02,1.716883E-01
102.15195,29.85050,1.175819E-01,2.443772E-01,2.867527E-01,6.021250E-01,4.739230E-02,1.278225E-01
102.15237,29.98540,9.537881E-02,1.866460E-01,2.274299E-01,4.528662E-01,4.274539E-02,1.040795E-01
102.15280,30.12030,9.486793E-02,1.877869E-01,2.257298E-01,4.546415E-01,4.331659E-02,1.059321E-01
102.15322,30.25520,1.119796E-01,2.443351E-01,2.698305E-01,5.978882E-01,4.785219E-02,1.304292E-01
102.15366,30.39010,1.152074E-01,2.468541E-01,2.788273E-01,6.032450E-01,4.952057E-02,1.362164E-01
102.15409,30.52500,1.037583E-01,2.164194E-01,2.470184E-01,5.237074E-01,4.725805E-02,1.242403E-01
102.15452,30.65989,8.879852E-02,1.831563E-01,2.092740E-01,4.374060E-01,4.382840E-02,1.092753E-01
102.15496,30.79479,7.518456E-02,1.523204E-01,1.717150E-01,3.557103E-01,4.051566E-02,9.564138E-02
102.15541,30.92969,6.375223E-02,1.274566E-01,1.420370E-01,2.896469E-01,3.794229E-02,8.558565E-02
102.15585,31.06459,5.577857E-02,1.110391E-01,1.195745E-01,2.436462E-01,3.605323E-02,7.917456E-02
102.15630,31.19949,4.979433E-02,9.923999E-02,1.034353E-01,2.108408E-01,3.469421E-02,7.457311E-02
102.15675,31.33438,4.522458E-02,9.076286E-02,9.050309E-02,1.866117E-01,3.369202E-02,7.123788E-02
102.15721,31.46928,4.170310E-02,8.435745E-02,8.057087E-02,1.681076E-01,3.290096E-02,6.864101E-02
102.15766,31.60418,3.864628E-02,7.894354E-02,7.174835E-02,1.524211E-01,3.225047E-02,6.644272E-02
102.15812,31.73908,3.631848E-02,7.489482E-02,6.520913E-02,1.406490E-01,3.165073E-02,6.465841E-02
102.15859,31.87398,3.428229E-02,7.122836E-02,5.962054E-02,1.302299E-01,3.110550E-02,6.307548E-02
102.15905,32.00888,3.274126E-02,6.829630E-02,5.558132E-02,1.224700E-01,3.057703E-02,6.169389E-02
102.30318,28.90622,3.577119E-02,7.473805E-02,7.768763E-02,1.658441E-01,1.884487E-02,4.561957E-02
102.30378,29.04111,4.978968E-02,1.037281E-01,1.134110E-01,2.408831E-01,2.298226E-02,5.756812E-02
102.30439,29.17601,7.419562E-02,1.529649E-01,1.754595E-01,3.702325E-01,2.973730E-02,7.843143E-02
102.30500,29.31091,1.133375E-01,2.322153E-01,2.782518E-01,5.766773E-01,4.116722E-02,1.160569E-01
102.30561,29.44581,1.673158E-01,3.448886E-01,4.154083E-01,8.607370E-01,5.806364E-02,1.733276E-01
102.30623,29.58071,1.852204E-01,3.730740E-01,4.590214E-01,9.298607E-01,6.582799E-02,1.935868E-01
102.30686,29.71561,1.727185E-01,3.529383E-01,4.282741E-01,8.809335E-01,6.242952E-02,1.785517E-01
102.30748,29.85050,1.443491E-01,2.958814E-01,3.530858E-01,7.358170E-01,5.475646E-02,1.472628E-01
102.30812,29.98540,1.205168E-01,2.406404E-01,2.938264E-01,5.960333E-01,4.977090E-02,1.224811E-01
102.30875,30.12030,1.228178E-01,2.435954E-01,2.994922E-01,6.032124E-01,5.139561E-02,1.266941E-01
102.30940,30.25520,1.573236E-01,3.339441E-01,3.873232E-01,8.303161E-01,6.057198E-02,1.689216E-01
102.31004,30.39010,1.711508E-01,3.614598E-01,4.219767E-01,8.943139E-01,6.637897E-02,1.933777E-01
102.31069,30.52500,1.558510E-01,3.296598E-01,3.820748E-01,8.135628E-01,6.334003E-02,1.817924E-01
102.31135,30.65989,1.316949E-01,2.820158E-01,3.190318E-01,6.879117E-01,5.695361E-02,1.574752E-01
102.31200,30.79479,1.043081E-01,2.186175E-01,2.468986E-01,5.271406E-01,4.989350E-02,1.276141E-01
102.31267,30.92969,8.274233E-02,1.677476E-01,1.911387E-01,3.943973E-01,4.465917E-02,1.062811E-01
