#,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:09:23', checksum=1834546322, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
102.30561,29.44581,4.470572E-02,9.046727E-02,9.304558E-02,1.976925E-01,3.222907E-02,6.543509E-02
102.30623,29.58071,5.635753E-02,1.118978E-01,1.221760E-01,2.517078E-01,3.793337E-02,7.838629E-02
102.30686,29.71561,7.178079E-02,1.375253E-01,1.606126E-01,3.164629E-01,4.597896E-02,9.596764E-02
102.30748,29.85050,9.197387E-02,1.704107E-01,2.124287E-01,4.032104E-01,5.775602E-02,1.199256E-01
102.30812,29.98540,1.114535E-01,2.030446E-01,2.604163E-01,4.803906E-01,6.937353E-02,1.436377E-01
102.30875,30.12030,1.459820E-01,2.642537E-01,3.455534E-01,6.391182E-01,8.281386E-02,1.718718E-01
102.30940,30.25520,1.227466E-01,2.262384E-01,2.914383E-01,5.473969E-01,7.160553E-02,1.479425E-01
102.31004,30.39010,9.639291E-02,1.781579E-01,2.211054E-01,4.192451E-01,5.950338E-02,1.209120E-01
102.31069,30.52500,7.728387E-02,1.436183E-01,1.708632E-01,3.246240E-01,5.092616E-02,1.020110E-01
102.31135,30.65989,6.653273E-02,1.231791E-01,1.440921E-01,2.735716E-01,4.582456E-02,9.072056E-02
102.31200,30.79479,5.798179E-02,1.077038E-01,1.210524E-01,2.304790E-01,4.175092E-02,8.196788E-02
102.31267,30.92969,5.121777E-02,9.468211E-02,1.037498E-01,1.974924E-01,3.849920E-02,7.516806E-02
102.31334,31.06459,4.560556E-02,8.466238E-02,8.933535E-02,1.706160E-01,3.577112E-02,6.948005E-02
102.31401,31.19949,4.179050E-02,7.818211E-02,7.968037E-02,1.533819E-01,3.383504E-02,6.564445E-02
102.31468,31.33438,3.908931E-02,7.374263E-02,7.278558E-02,1.411354E-01,3.248772E-02,6.305266E-02
102.31537,31.46928,3.656242E-02,6.943174E-02,6.613167E-02,1.300161E-01,3.129701E-02,6.090164E-02
102.31605,31.60418,3.414651E-02,6.572635E-02,6.033313E-02,1.205595E-01,3.023569E-02,5.903570E-02
102.31674,31.73908,3.196849E-02,6.235199E-02,5.516410E-02,1.120162E-01,2.925577E-02,5.731864E-02
102.31744,31.87398,3.008574E-02,5.943771E-02,5.051030E-02,1.045742E-01,2.839061E-02,5.582922E-02
102.31814,32.00888,2.853541E-02,5.705453E-02,4.657386E-02,9.808915E-02,2.766358E-02,5.460401E-02
102.45727,28.90622,2.994161E-02,5.272616E-02,5.520974E-02,9.998330E-02,2.590389E-02,4.676363E-02
102.45808,29.04111,3.063775E-02,5.607491E-02,5.628555E-02,1.073948E-01,2.671383E-02,4.918245E-02
102.45889,29.17601,3.357205E-02,6.379963E-02,6.367569E-02,1.272166E-01,2.809766E-02,5.333742E-02
102.45970,29.31091,3.939982E-02,7.687389E-02,7.877932E-02,1.605784E-01,3.059112E-02,5.985028E-02
102.46052,29.44581,4.939659E-02,9.672596E-02,1.047904E-01,2.124276E-01,3.517475E-02,7.113658E-02
102.46135,29.58071,6.640434E-02,1.275697E-01,1.482203E-01,2.926843E-01,4.358220E-02,9.011720E-02
102.46218,29.71561,9.781460E-02,1.799864E-01,2.261221E-01,4.264434E-01,6.073826E-02,1.262807E-01
102.46302,29.85050,1.544061E-01,2.714925E-01,3.681661E-01,6.566300E-01,9.421711E-02,1.931459E-01
102.46386,29.98540,2.207354E-01,3.750414E-01,5.359062E-01,9.218158E-01,1.351503E-01,2.706477E-01
102.46471,30.12030,1.788108E-01,3.090379E-01,4.297772E-01,7.593122E-01,1.100763E-01,2.216685E-01
102.46557,30.25520,1.869837E-01,3.324268E-01,4.504324E-01,8.193613E-01,1.042486E-01,2.129426E-01
102.46643,30.39010,1.319489E-01,2.386304E-01,3.122995E-01,5.782961E-01,7.759015E-02,1.568280E-01
102.46729,30.52500,1.036786E-01,1.871774E-01,2.368930E-01,4.390269E-01,6.447135E-02,1.284499E-01
102.46817,30.65989,8.378960E-02,1.530462E-01,1.871658E-01,3.482493E-01,5.544678E-02,1.092252E-01
102.46904,30.79479,6.995496E-02,1.275884E-01,1.509732E-01,2.837141E-01,4.844674E-02,9.463853E-02
102.46993,30.92969,5.969828E-02,1.096109E-01,1.244716E-01,2.340241E-01,4.333117E-02,8.410318E-02
102.47082,31.06459,5.377164E-02,9.872239E-02,1.088525E-01,2.060167E-01,4.035026E-02,7.810552E-02
102.47172,31.19949,4.937173E-02,9.101899E-02,9.782484E-02,1.855308E-01,3.837466E-02,7.426512E-02
102.47262,31.33438,4.530470E-02,8.434191E-02,8.746322E-02,1.676312E-01,3.640316E-02,7.037201E-02
102.47353,31.46928,4.207747E-02,7.952143E-02,7.934386E-02,1.546544E-01,3.477329E-02,6.749435E-02
102.47444,31.60418,3.910102E-02,7.497583E-02,7.171100E-02,1.423004E-01,3.326428E-02,6.482051E-02
102.47536,31.73908,3.632620E-02,7.045358E-02,6.455254E-02,1.303364E-01,3.194022E-02,6.249470E-02
102.47629,31.87398,3.388542E-02,6.663629E-02,5.869499E-02,1.205983E-01,3.083445E-02,6.060651E-02
102.47722,32.00888,3.201088E-02,6.384301E-02,5.420703E-02,1.133672E-01,2.997317E-02,5.922945E-02
102.61137,28.90622,3.398756E-02,5.810222E-02,6.542405E-02,1.150805E-01,2.761835E-02,4.954430E-02
102.61237,29.04111,3.356156E-02,5.959111E-02,6.323197E-02,1.161489E-01,2.819118E-02,5.159331E-02
102.61339,29.17601,3.572176E-02,6.620232E-02,6.832086E-02,1.323553E-01,2.948192E-02,5.534965E-02
102.61440,29.31091,4.123385E-02,7.890334E-02,8.277242E-02,1.648663E-01,3.205701E-02,6.207241E-02
102.61543,29.44581,5.212419E-02,1.000623E-01,1.105415E-01,2.192012E-01,3.719056E-02,7.455061E-02
102.61646,29.58071,7.299124E-02,1.373272E-01,1.629447E-01,3.149896E-01,4.756473E-02,9.799771E-02
102.61750,29.71561,1.207305E-01,2.177790E-01,2.860212E-01,5.224602E-01,7.487032E-02,1.540481E-01
