#,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:57:54', checksum=456785265, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
101.99498,28.90622,2.133365E-02,4.005226E-02,3.540308E-02,7.022335E-02,2.093500E-02,3.883822E-02
101.99518,29.04111,2.290390E-02,4.449974E-02,3.925809E-02,8.124974E-02,2.164799E-02,4.094191E-02
101.99538,29.17601,2.543743E-02,5.122002E-02,4.534908E-02,9.775577E-02,2.273709E-02,4.392402E-02
101.99559,29.31091,2.890415E-02,5.965761E-02,5.409998E-02,1.190387E-01,2.422072E-02,4.792490E-02
101.99579,29.44581,3.302714E-02,6.814252E-02,6.430187E-02,1.407024E-01,2.610089E-02,5.271374E-02
101.99600,29.58071,3.784817E-02,7.636257E-02,7.608024E-02,1.603853E-01,2.835206E-02,5.782156E-02
101.99621,29.71561,4.284525E-02,8.486267E-02,8.853574E-02,1.819299E-01,3.104606E-02,6.387275E-02
101.99642,29.85050,5.024867E-02,9.814194E-02,1.065464E-01,2.141004E-01,3.488244E-02,7.238752E-02
101.99663,29.98540,5.738366E-02,1.109720E-01,1.238959E-01,2.459714E-01,3.870117E-02,8.002817E-02
101.99684,30.12030,6.115262E-02,1.174263E-01,1.334756E-01,2.630293E-01,4.081654E-02,8.422441E-02
101.99705,30.25520,5.974307E-02,1.143455E-01,1.291750E-01,2.538886E-01,4.046345E-02,8.288752E-02
101.99727,30.39010,5.463436E-02,1.044700E-01,1.151291E-01,2.261475E-01,3.827586E-02,7.756851E-02
101.99749,30.52500,4.939229E-02,9.396405E-02,1.019631E-01,2.001741E-01,3.592210E-02,7.234932E-02
101.99770,30.65989,4.452894E-02,8.468455E-02,8.902446E-02,1.746338E-01,3.367940E-02,6.723253E-02
