rup_id	involved_faults
0	0 
1	1 
2	2 
3	3 
4	4 
5	5 
6	6 
7	7 
8	8 
9	9 
10	10 
11	11 
12	12 
13	13 
14	14 
15	15 
16	16 
17	17 
18	18 
19	19 
20	20 
21	1 2 
22	3 4 
23	6 7 
24	6 7 8 
25	7 8 
26	9 10 
27	9 10 11 
28	9 10 11 12 
29	9 10 11 12 13 
30	10 11 
31	10 11 12 
32	10 11 12 13 
33	11 12 
34	11 12 13 
35	12 13 
36	14 15 
37	14 15 16 
38	14 15 16 17 
39	14 15 16 17 18 
40	15 16 
41	15 16 17 
42	15 16 17 18 
43	16 17 
44	16 17 18 
45	17 18 
46	19 20 
