CHN0_0	5.0	0.0 0.0 0.004730824651680165 0.0 0.0023710289199512626 0.0 0.0 0.0008412728070587395 0.0 0.0 0.0 0.0 0.0 8.472797720461297e-05 5.99828142814003e-05 0.0 0.00010521917264205778 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CHN0_1	5.0	0.0 0.0 0.0 0.0028402578355946157 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00012686965726383187 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CHN0_2	5.0	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.01825040032321e-05 4.968540784661121e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CHN0_3	5.0	0.0 0.0 0.0020821850998833805 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00013137699813386348 0.0 0.0 6.992147696281451e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CHN0_4	5.0	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0001274885745562047 6.016999927613884e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CHN0_5	5.0	1e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CHN0_6	5.0	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0004044886281878491 0.0002863560191569117 0.00020272453659515643 0.0 0.0 0.0 0.0 0.0 2.5521507071383988e-05 1.8067843342316315e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CHN0_7	5.0	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.441383659570035e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CHN0_8	5.0	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00024618218212870275 0.00017428363802850087 0.0001233833668294086 0.0 0.0 4.377807055979242e-05 0.0 2.194101007740168e-05 1.5533045589426455e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CHN0_9	5.0	1.885660050661269 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.021107335077846217 0.02881835142675052 0.0 0.0 0.002650961429368397 0.0021448422496986416 0.0 0.000940596609481694 0.0 0.0 0.00019070644052103283 0.00016876227577721244 0.0 0.0004398237903146001 0.0 1.695646682701826e-05 0.0008222917557642409 0.0002634493057349022 0.00014740134587586448 0.0005537053463386818 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CHN0_10	5.0	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13215903353293515 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00019042990914093828 0.0001348140513969821 0.0 0.0 0.0 0.0 0.0011027904382026298 0.0 0.0 2.5518574760416668e-05 0.00011441652702581384 0.0002728444563260574 0.00019315908264861344 3.8459857015291963e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
